setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0072,5,1,44.8675,52.9726,999.0000,11.0000,TSLA US Equity,long,0.0000,0.1107,0.0000,2020-01-09,2021-06-08,MSTR US Equity_options_vs_equity_flow_z_60d is_low AND C US Equity_px_zscore_90d is_high,"SIG_01988, SIG_01291"
SETUP_0075,5,1,38.5512,45.6022,999.0000,16.0000,BTC Index,long,0.0000,0.2038,0.0000,2020-11-25,2020-12-25,C US Equity_px_zscore_90d is_high AND PLTR US Equity_turnover_minus_volume_z_60d is_high,"SIG_01291, SIG_01415"
SETUP_0076,5,1,35.2078,42.8069,999.0000,32.0000,MSTR US Equity,long,0.0000,0.1935,0.0000,2020-11-25,2021-01-15,C US Equity_px_zscore_90d is_high AND BMY US Equity_oi_callput_skew_z_60d is_high,"SIG_01291, SIG_01704"
SETUP_0077,5,1,35.0241,40.5660,999.0000,36.0000,BTC Index,long,0.0000,0.1817,0.0000,2020-01-07,2021-02-25,C US Equity_px_zscore_90d is_high AND MSTR US Equity_iv_term_call3m_minus_rv21_z_60d is_high,"SIG_01291, SIG_01971"
SETUP_0078,5,1,33.9912,39.9857,999.0000,43.0000,MSTR US Equity,long,0.0000,0.1827,0.0000,2020-01-03,2021-06-02,C US Equity_px_zscore_90d is_high AND EEM US Equity_turnover_minus_volume_z_60d is_high,"SIG_01291, SIG_02494"
SETUP_0079,5,1,19.3098,23.6816,65.3340,53.0000,MSTR US Equity,long,0.0000,0.3649,-0.0137,2020-03-23,2021-02-08,BMY US Equity_oi_callput_skew_z_60d is_high AND XAU Curncy_realized_vol_21d is_high,"SIG_01704, SIG_02598"
SETUP_0073,5,1,16.5538,19.6123,1818.3084,13.0000,TSLA US Equity,long,0.0000,0.2674,-0.0001,2020-12-04,2021-12-17,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND LLY US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_02994, SIG_01181"
SETUP_0074,5,1,16.5538,19.5764,1818.3084,13.0000,TSLA US Equity,long,0.0000,0.2674,-0.0001,2020-12-04,2021-12-17,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND LLY US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_02994, SIG_01181"
SETUP_0080,5,1,14.4887,21.6942,18.0598,67.0000,MSTR US Equity,long,0.0000,0.2999,-0.0613,2020-06-01,2021-02-04,EEM US Equity_turnover_minus_volume_z_60d is_high AND XLC US Equity_news_pub_z_30d is_low,"SIG_02494, SIG_00237"
SETUP_0081,5,1,5.0414,10.1096,4.1232,70.0000,TSLA US Equity,long,0.0000,0.6944,-0.2309,2020-03-11,2022-10-11,AMZN US Equity_realized_vol_21d is_high AND JPM US Equity_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_00768, SIG_02778"
SETUP_0083,5,1,4.9473,9.2438,3.9713,113.0000,TSLA US Equity,long,0.0000,0.6168,-0.2512,2020-03-11,2022-12-07,AMZN US Equity_realized_vol_21d is_high AND XAU Curncy_realized_vol_21d is_high,"SIG_00768, SIG_02598"
SETUP_0082,5,1,4.7958,10.4172,4.6421,74.0000,TSLA US Equity,long,0.0000,0.4071,-0.1719,2020-01-22,2022-05-05,XLC US Equity_news_pub_z_30d is_low AND BMY US Equity_px_vs_sentiment_divergence_z_60d is_high,"SIG_00237, SIG_01716"
SETUP_0087,6,1,34.6951,40.0762,999.0000,22.0000,MSTR US Equity,long,0.0000,0.1398,0.0000,2020-08-04,2023-03-31,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND GOOGL US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high,"SIG_02994, SIG_00151, SIG_00900"
SETUP_0088,6,1,34.5408,42.3552,999.0000,30.0000,MSTR US Equity,long,0.0000,0.1920,0.0000,2020-11-25,2021-02-25,MSTR US Equity_iv_term_call3m_minus_rv21_z_60d is_high AND C US Equity_px_zscore_90d is_high,"SIG_01971, SIG_01291"
SETUP_0089,6,1,25.8191,35.1178,999.0000,31.0000,PLTR US Equity,long,0.0000,0.1635,0.0000,2021-05-27,2023-06-02,XLRE US Equity_vol90d_regime_z_120d is_low AND PLTR US Equity_px_trend_5_20_z_60d is_high,"SIG_00225, SIG_01407"
SETUP_0090,6,1,18.3860,24.2134,64.7342,49.0000,MSTR US Equity,long,0.0000,0.2835,-0.0142,2020-07-27,2023-03-31,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_02994, SIG_00151"
SETUP_0084,6,1,15.8442,22.3749,1132.6036,12.0000,TSLA US Equity,long,0.0000,0.3186,-0.0003,2020-10-01,2022-03-10,NKE US Equity_vol_turnover_zscore_60d is_high AND XLC US Equity_pcr_ema5_z_30d z_breakout_pos,"SIG_01777, SIG_00296"
SETUP_0085,6,1,15.8442,23.1741,1132.6036,12.0000,TSLA US Equity,long,0.0000,0.3186,-0.0003,2020-10-01,2022-03-10,XLC US Equity_pcr_ema5_z_30d z_breakout_pos AND NKE US Equity_vol_turnover_zscore_60d is_high,"SIG_00296, SIG_01777"
SETUP_0086,6,1,15.8442,22.3749,1132.6036,12.0000,TSLA US Equity,long,0.0000,0.3186,-0.0003,2020-10-01,2022-03-10,XLC US Equity_pcr_ema5_z_30d z_breakout_pos AND NKE US Equity_vol_turnover_zscore_60d is_high,"SIG_00296, SIG_01777"
SETUP_0091,6,1,10.2085,15.1476,10.4946,52.0000,MSTR US Equity,long,0.0000,0.2458,-0.0317,2020-08-04,2023-04-17,GOOGL US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_high AND DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_00900, SIG_02994"
SETUP_0093,6,1,8.5590,14.3860,6.1648,61.0000,MSTR US Equity,long,0.0000,0.3068,-0.0808,2020-08-19,2023-04-19,EUR Curncy_vol90d_regime_z_120d is_low AND DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_02459, SIG_02994"
SETUP_0092,6,1,7.3685,13.1316,7.2480,58.0000,BTC Index,long,0.0000,0.3034,-0.0809,2020-08-04,2021-10-11,TSLA US Equity_vol90d_regime_z_120d is_low AND DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_00761, SIG_02994"
SETUP_0094,6,1,4.2747,8.6264,3.9852,76.0000,COIN US Equity,long,0.0000,0.4772,-0.1823,2020-08-18,2023-04-03,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND EUR Curncy_vs_SPY US Equity_beta_px_60d_z_120d z_breakout_neg,"SIG_02994, SIG_03029"
SETUP_0095,6,1,-2.0181,2.5171,1.5721,77.0000,MSTR US Equity,long,0.0000,0.5452,-0.3783,2022-03-10,2023-03-29,DXY Curncy_realized_vol_21d is_high AND XLRE US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_high,"SIG_02406, SIG_00200"
SETUP_0097,6,1,-4.8242,-0.8680,0.9674,117.0000,LLY US Equity,long,0.0000,0.6170,-0.7012,2021-10-04,2023-03-14,QQQ US Equity_turnover_minus_volume_z_60d is_low AND XLRE US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_high,"SIG_00563, SIG_00200"
SETUP_0096,6,1,-5.0972,0.1064,0.9980,80.0000,MSTR US Equity,long,0.0000,0.5904,-0.5733,2022-03-31,2023-03-31,DXY Curncy_realized_vol_21d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_02406, SIG_00151"
SETUP_0098,6,1,-5.1259,-0.6765,0.9777,121.0000,NKE US Equity,long,0.0000,0.5247,-0.4939,2022-03-10,2022-12-27,DXY Curncy_realized_vol_21d is_high AND MSFT US Equity_realized_vol_21d is_high,"SIG_02406, SIG_00944"
SETUP_0103,7,1,51.6469,71.0832,999.0000,16.0000,TSLA US Equity,long,0.0000,0.1802,0.0000,2021-09-29,2023-06-05,XLRE US Equity_vs_SPY US Equity_beta_px_60d_z_120d z_breakout_neg AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02649, SIG_00528"
SETUP_0104,7,1,48.1133,55.2312,999.0000,25.0000,TSLA US Equity,long,0.0000,0.1760,0.0000,2021-09-29,2023-06-05,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND TSLA US Equity_vol90d_regime_z_120d is_low,"SIG_00528, SIG_00761"
SETUP_0105,7,1,39.0237,48.7856,999.0000,28.0000,COIN US Equity,long,0.0000,0.1377,0.0000,2021-05-12,2023-11-24,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND PLTR US Equity_vol_turnover_zscore_60d is_high,"SIG_00528, SIG_01403"
SETUP_0106,7,1,33.4611,41.7362,999.0000,36.0000,COIN US Equity,long,0.0000,0.2301,0.0000,2021-09-30,2023-11-23,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND XLV US Equity_realized_vol_21d z_breakout_pos,"SIG_00528, SIG_00308"
SETUP_0107,7,1,20.1505,28.7678,58.6660,37.0000,TSLA US Equity,long,0.0000,0.2573,-0.0121,2021-09-29,2023-06-05,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND XAU Curncy_vs_SPY US Equity_beta_px_60d_z_120d is_low,"SIG_00528, SIG_03075"
SETUP_0108,7,1,17.0111,22.6379,51.0059,40.0000,MSTR US Equity,long,0.0000,0.3117,-0.0158,2021-01-13,2023-10-10,DXY Curncy_vs_SPY US Equity_corr_px_fisher20_z_60d is_high AND XLK US Equity_vol90d_regime_z_120d z_breakout_neg,"SIG_02994, SIG_00151"
SETUP_0111,7,1,14.8479,20.9164,15.3768,52.0000,MSTR US Equity,long,0.0000,0.2783,-0.0504,2021-01-15,2023-08-02,TSLA US Equity_vol90d_regime_z_120d is_low AND AMD US Equity_tw_pub_z_30d is_high,"SIG_00761, SIG_01568"
SETUP_0109,7,1,13.5566,20.0465,44.5195,48.0000,COIN US Equity,long,0.0000,0.3568,-0.0192,2021-09-29,2023-11-14,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND XLP US Equity_px_zscore_90d is_low,"SIG_00528, SIG_00379"
SETUP_0110,7,1,12.9819,19.6449,18.3301,49.0000,MSTR US Equity,long,0.0000,0.2914,-0.0467,2021-01-01,2023-12-28,DXY Curncy_px_zscore_90d is_low AND C US Equity_px_zscore_90d is_high,"SIG_02403, SIG_01291"
SETUP_0113,7,1,8.7424,14.3275,7.3849,117.0000,COIN US Equity,long,0.0000,0.3664,-0.1898,2021-04-26,2023-12-22,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND SPX Index_vol90d_regime_z_120d z_breakout_pos,"SIG_00528, SIG_02181"
SETUP_0112,7,1,6.8595,12.6460,11.7553,61.0000,MSTR US Equity,long,0.0000,0.4101,-0.1048,2021-01-21,2023-10-25,XLK US Equity_vol90d_regime_z_120d z_breakout_neg AND DXY Curncy_vs_SPY US Equity_beta_px_60d_z_120d z_breakout_pos,"SIG_00151, SIG_03004"
SETUP_0099,7,1,0.0000,0.0000,1675.5589,8.0000,MSTR US Equity,long,0.0000,0.2741,0.0000,2022-01-21,2023-03-20,JPM US Equity_realized_vol_21d z_breakout_pos AND NKE US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d z_breakout_neg,"SIG_01209, SIG_01804"
SETUP_0100,7,1,0.0000,0.0000,1675.5589,8.0000,MSTR US Equity,long,0.0000,0.2741,0.0000,2022-01-21,2023-03-20,NKE US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d z_breakout_neg AND JPM US Equity_realized_vol_21d z_breakout_pos,"SIG_01804, SIG_01209"
SETUP_0101,7,1,0.0000,0.0000,1675.5589,8.0000,MSTR US Equity,long,0.0000,0.2741,0.0000,2022-01-21,2023-03-20,JPM US Equity_realized_vol_21d z_breakout_pos AND NKE US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d z_breakout_neg,"SIG_01209, SIG_01804"
SETUP_0102,7,1,0.0000,0.0000,1675.5589,8.0000,MSTR US Equity,long,0.0000,0.2741,0.0000,2022-01-21,2023-03-20,JPM US Equity_realized_vol_21d z_breakout_pos AND NKE US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d z_breakout_neg,"SIG_01209, SIG_01804"
SETUP_0114,7,1,-7.3257,-2.6532,0.6009,120.0000,LLY US Equity,long,0.0000,0.5018,-0.6390,2022-02-09,2023-02-28,AMZN US Equity_realized_vol_21d is_high AND AMD US Equity_realized_vol_21d is_high,"SIG_00768, SIG_01556"
SETUP_0116,8,1,58.6821,85.2422,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND EUR Curncy_px_trend_5_20_z_60d z_breakout_neg,"SIG_00528, SIG_02453"
SETUP_0117,8,1,58.6821,84.8992,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,EUR Curncy_px_trend_5_20_z_60d z_breakout_neg AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02453, SIG_00528"
SETUP_0118,8,1,58.6821,87.8312,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND EUR Curncy_px_trend_5_20_z_60d z_breakout_neg,"SIG_00528, SIG_02453"
SETUP_0119,8,1,58.6821,85.2422,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,EUR Curncy_px_trend_5_20_z_60d z_breakout_neg AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02453, SIG_00528"
SETUP_0120,8,1,58.6821,85.2422,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,EUR Curncy_px_trend_5_20_z_60d z_breakout_neg AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02453, SIG_00528"
SETUP_0121,8,1,58.6821,87.1183,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,EUR Curncy_px_trend_5_20_z_60d z_breakout_neg AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02453, SIG_00528"
SETUP_0122,8,1,58.6821,85.2422,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND EUR Curncy_px_trend_5_20_z_60d z_breakout_neg,"SIG_00528, SIG_02453"
SETUP_0123,8,1,58.6821,85.2422,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND EUR Curncy_px_trend_5_20_z_60d z_breakout_neg,"SIG_00528, SIG_02453"
SETUP_0124,8,1,58.6821,84.8992,999.0000,12.0000,TSLA US Equity,long,0.0000,0.1610,0.0000,2021-09-29,2023-05-30,EUR Curncy_px_trend_5_20_z_60d z_breakout_neg AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02453, SIG_00528"
SETUP_0125,8,1,57.5008,67.3026,999.0000,15.0000,COIN US Equity,long,0.0000,0.1166,0.0000,2021-10-20,2023-11-21,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND AAPL US Equity_px_trend_5_20_z_60d z_breakout_pos,"SIG_00528, SIG_01058"
SETUP_0126,8,1,44.2533,72.5198,999.0000,17.0000,COIN US Equity,long,0.0000,0.1420,0.0000,2021-12-01,2023-12-21,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND QQQ US Equity_turnover_minus_volume_z_60d z_breakout_pos,"SIG_00528, SIG_00564"
SETUP_0127,8,1,35.8404,40.5679,999.0000,22.0000,COIN US Equity,long,0.0000,0.2262,0.0000,2023-05-29,2023-11-21,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND MSFT US Equity_turnover_minus_volume_z_60d z_breakout_pos,"SIG_00528, SIG_00978"
SETUP_0129,8,1,34.2196,50.0980,523.3357,28.0000,COIN US Equity,long,0.0000,0.1626,-0.0013,2023-05-03,2023-12-22,MSFT US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_low AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_02751, SIG_00528"
SETUP_0130,8,1,32.9772,41.9386,999.0000,36.0000,COIN US Equity,long,0.0000,0.2301,0.0000,2021-09-30,2023-11-23,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND XLV US Equity_realized_vol_21d z_breakout_pos,"SIG_00528, SIG_00308"
SETUP_0131,8,1,30.7789,39.1835,1592.4230,42.0000,COIN US Equity,long,0.0000,0.2781,-0.0010,2021-09-29,2023-12-22,C US Equity_vol90d_regime_z_120d z_breakout_pos AND SPY US Equity_vol90d_regime_z_120d z_breakout_pos,"SIG_01377, SIG_00528"
SETUP_0115,8,1,24.9630,26.6643,2009.4553,11.0000,ARM US Equity,long,0.0000,0.1794,-0.0001,2021-08-09,2023-11-20,JPM US Equity_realized_vol_21d z_breakout_pos AND MSFT US Equity_vs_SPY US Equity_beta_px_60d_z_120d is_low,"SIG_01209, SIG_02751"
SETUP_0128,8,1,22.1072,29.1831,1964.3973,24.0000,MSTR US Equity,long,0.0000,0.3149,-0.0005,2023-03-10,2023-11-14,XLP US Equity_px_zscore_90d is_low AND JPM US Equity_realized_vol_21d z_breakout_pos AND USGG2YR Index_vs_SPY US Equity_corr_px_fisher20_z_60d is_high,"SIG_00379, SIG_01209, SIG_02982"
SETUP_0132,8,1,18.0722,23.6099,239.7488,46.0000,COIN US Equity,long,0.0000,0.2797,-0.0031,2023-05-03,2023-12-04,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND JPY Curncy_vol90d_regime_z_120d is_low,"SIG_00528, SIG_02439"
SETUP_0133,8,1,14.3954,19.5634,44.5195,48.0000,COIN US Equity,long,0.0000,0.3568,-0.0192,2021-09-29,2023-11-14,SPY US Equity_vol90d_regime_z_120d z_breakout_pos AND XLP US Equity_px_zscore_90d is_low,"SIG_00528, SIG_00379"
SETUP_0134,8,1,12.7947,16.1837,21.1971,62.0000,MSTR US Equity,long,0.0000,0.3692,-0.0370,2021-09-30,2024-05-02,SPY US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_low AND XLE US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_high,"SIG_00499, SIG_00048"
SETUP_0135,8,1,7.9874,11.4681,6.1853,66.0000,MSTR US Equity,long,0.0000,0.4053,-0.0458,2021-07-20,2024-04-26,LLY US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_high AND SPY US Equity_moneyness_tilt_call3m_minus_moneyness_z_60d is_low,"SIG_01167, SIG_00499"
SETUP_0136,8,1,6.4767,11.8682,4.7890,67.0000,MSTR US Equity,long,0.0000,0.3701,-0.0957,2022-06-09,2024-05-30,XLRE US Equity_px_zscore_90d is_low AND XLRE US Equity_vs_SPY US Equity_beta_px_60d_z_120d z_breakout_pos,"SIG_00153, SIG_02648"
SETUP_0137,8,1,1.8499,6.2904,2.4603,71.0000,AMD US Equity,long,0.0000,0.3563,-0.1025,2021-07-05,2024-01-04,C US Equity_oi_callput_skew_z_60d is_high AND TSLA US Equity_vol90d_regime_z_120d is_low,"SIG_01355, SIG_00761"
SETUP_0138,8,1,-2.0317,2.6783,1.5761,85.0000,PLTR US Equity,long,0.0000,0.4748,-0.3183,2022-03-17,2023-11-14,C US Equity_oi_callput_skew_z_60d is_high AND XLP US Equity_px_zscore_90d is_low,"SIG_01355, SIG_00379"
