setup_id,rank,sharpe_lb,sharpe_median,sortino,calmar,max_drawdown,support,avg_return,volatility,description,signal_ids
SETUP_0060,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0059,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0058,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0077,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0084,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0079,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0090,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0098,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0097,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0096,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0095,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0094,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0093,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0092,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0091,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0089,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0080,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0088,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0087,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0086,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0085,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0056,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0083,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0082,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0081,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0057,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0050,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0055,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0023,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0031,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0030,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0029,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0028,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0027,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0026,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0025,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0024,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0022,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0033,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0021,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0020,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0019,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0018,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0017,1,0.0000,0.0000,536.6455,31.0414,-0.0049,34.0000,0.0192,0.0140,EUR Curncy_vs_SPY US Equity_corr_px_20d z_breakout_pos AND XLC US Equity_px_zscore_90d is_high,"SIG_01141, SIG_00075"
SETUP_0016,1,0.0000,0.0000,536.6455,31.0414,-0.0049,34.0000,0.0192,0.0140,XLC US Equity_px_zscore_90d is_high AND EUR Curncy_vs_SPY US Equity_corr_px_20d z_breakout_pos,"SIG_00075, SIG_01141"
SETUP_0014,1,0.0000,0.0000,788.8033,194.7411,-0.0027,27.0000,0.0457,0.0271,SPX Index_realized_vol_21d is_high AND PLTR US Equity_frac_diff_px is_high,"SIG_00634, SIG_00414"
SETUP_0004,1,0.0000,0.0000,788.8033,194.7411,-0.0027,27.0000,0.0457,0.0271,PLTR US Equity_frac_diff_px is_high AND SPX Index_realized_vol_21d is_high,"SIG_00414, SIG_00634"
SETUP_0032,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0034,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0054,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0045,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0053,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0052,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0051,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0001,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0049,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0048,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0047,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0046,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0044,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0035,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0043,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0042,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0041,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0040,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0039,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0038,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0037,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0036,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0099,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
