setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0000,1,1,86.3395,122.0298,999.0000,10.0000,TSLA US Equity,long,0.0000,0.0730,0.0000,2019-12-13,2020-01-03,HG1 Comdty_px_zscore_90d is_very_high_z AND AMD US Equity_realized_vol_21d z_breakout_pos,"SIG_00843, SIG_00459"
SETUP_0001,1,1,62.5781,91.4252,999.0000,12.0000,TSLA US Equity,long,0.0000,0.0877,0.0000,2018-08-01,2020-01-10,AMD US Equity_realized_vol_21d z_breakout_pos AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00459, SIG_00994"
SETUP_0002,1,1,62.5781,91.4613,999.0000,12.0000,TSLA US Equity,long,0.0000,0.0877,0.0000,2018-08-01,2020-01-10,AMD US Equity_realized_vol_21d z_breakout_pos AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00459, SIG_00994"
SETUP_0003,1,1,55.2130,80.6705,999.0000,18.0000,TSLA US Equity,long,0.0000,0.0977,0.0000,2019-11-06,2020-08-18,BMY US Equity_px_zscore_90d is_very_high_z AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00475, SIG_00873"
SETUP_0004,1,1,47.5752,55.6656,999.0000,19.0000,AMD US Equity,long,0.0000,0.1359,0.0000,2020-06-30,2020-07-24,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND HG1 Comdty_px_zscore_90d is_very_high_z,"SIG_00889, SIG_00843"
SETUP_0007,1,1,43.1705,51.7723,999.0000,41.0000,AMD US Equity,long,0.0000,0.1328,0.0000,2019-11-08,2020-07-24,USGG10YR Index_vs_SPY US Equity_beta_px_60d is_high AND HG1 Comdty_px_zscore_90d is_very_high_z,"SIG_01111, SIG_00843"
SETUP_0011,1,1,25.5415,33.2543,721.4158,53.0000,TSLA US Equity,long,0.0000,0.1376,-0.0013,2018-08-15,2020-01-24,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND JPM US Equity_realized_vol_21d is_low,"SIG_00984, SIG_00363"
SETUP_0013,1,1,25.3033,33.3154,376.2686,65.0000,TSLA US Equity,long,0.0000,0.1718,-0.0037,2019-12-10,2020-12-29,HG1 Comdty_px_zscore_90d is_very_high_z AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00843, SIG_00873"
SETUP_0010,1,1,24.9970,31.3177,999.0000,51.0000,TSLA US Equity,long,0.0000,0.1424,0.0000,2019-02-05,2020-01-24,DXY Curncy_vs_SPY US Equity_beta_px_60d is_high AND JPM US Equity_realized_vol_21d is_low,"SIG_01127, SIG_00363"
SETUP_0005,1,1,24.3167,35.9139,67223.9094,32.0000,TSLA US Equity,long,0.0000,0.1603,-0.0000,2019-02-26,2020-11-30,HG1 Comdty_px_zscore_90d is_very_high_z AND EUR Curncy_realized_vol_21d is_low,"SIG_00843, SIG_00790"
