setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,annualized_return,volatility,max_drawdown,best_performing_ticker,entry_direction,first_trigger_date,last_trigger_date,chosen_tickers,chosen_horizons,num_selected_tickers,trades_count,sum_capital_allocated,sum_pnl_dollars,avg_pnl_per_trade_dollars,avg_pnl_per_trade_pct,portfolio_total_return_pct,portfolio_total_pnl_dollars_on_base,description,signal_ids
SETUP_0000,1,1,12.447787,24.858725,6.134157,10.000000,0.000000,0.209084,-0.021881,AMD US Equity,long,2018-04-03,2020-05-22,"AMD US Equity, NKE US Equity, C US Equity, XLE US Equity, JPM US Equity","{'AMD US Equity': 5, 'NKE US Equity': 1, 'C US Equity': 1, 'XLE US Equity': 1, 'JPM US Equity': 1}",5,50,500000.000000,5644.006277,112.880126,0.011288,0.117926,11792.594160,MSFT US Equity_oi_callput_skew_z_60d z_breakout_neg AND XLK US Equity_iv_call3m_shock_1d_z_30d is_high,"SIG_01007, SIG_00112"
SETUP_0001,1,1,9.012858,16.501140,26.647670,12.000000,0.000000,0.577667,-0.020736,AMD US Equity,long,2018-04-23,2020-06-24,"AMD US Equity, TSLA US Equity, LLY US Equity, XLC US Equity, MSTR US Equity","{'AMD US Equity': 21, 'TSLA US Equity': 10, 'LLY US Equity': 1, 'XLC US Equity': 1, 'MSTR US Equity': 1}",5,53,530000.000000,22809.644670,430.370654,0.043037,0.672982,67298.174691,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01618, SIG_01822"
SETUP_0002,1,1,9.012858,16.501140,26.647670,12.000000,0.000000,0.577667,-0.020736,AMD US Equity,long,2018-04-23,2020-06-24,"AMD US Equity, TSLA US Equity, LLY US Equity, XLC US Equity, MSTR US Equity","{'AMD US Equity': 21, 'TSLA US Equity': 10, 'LLY US Equity': 1, 'XLC US Equity': 1, 'MSTR US Equity': 1}",5,53,530000.000000,22809.644670,430.370654,0.043037,0.672982,67298.174691,NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low AND AMD US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_01822, SIG_01618"
SETUP_0003,1,1,6.940756,10.106431,11.078706,34.000000,0.000000,1.631672,-0.101197,PLTR US Equity,long,2018-04-23,2020-11-26,"AMD US Equity, TSLA US Equity, PLTR US Equity, NKE US Equity, C US Equity","{'AMD US Equity': 3, 'TSLA US Equity': 10, 'PLTR US Equity': 21, 'NKE US Equity': 1, 'C US Equity': 3}",5,124,1240000.000000,60948.865081,491.523105,0.049152,4.489092,448909.202952,AMZN US Equity_realized_vol_21d is_high AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_00768, SIG_01822"
SETUP_0004,1,1,0.921798,5.140949,2.009268,45.000000,0.000000,0.253830,-0.048048,TSLA US Equity,long,2018-02-12,2020-11-09,"MSFT US Equity, AMD US Equity, MSTR US Equity, TSLA US Equity, XLK US Equity","{'MSFT US Equity': 1, 'AMD US Equity': 1, 'MSTR US Equity': 1, 'TSLA US Equity': 1, 'XLK US Equity': 1}",5,192,1920000.000000,8978.417831,46.762593,0.004676,0.200283,20028.270474,QQQ US Equity_tw_pub_z_30d is_high AND SPX Index_options_vs_equity_flow_z_60d is_high,"SIG_00546, SIG_02163"
SETUP_0005,1,1,-3.769821,-1.192995,0.805841,55.000000,0.000000,0.491387,-0.283355,AMZN US Equity,long,2018-11-19,2020-11-11,"AMD US Equity, AMZN US Equity, MSTR US Equity, NKE US Equity, JPM US Equity","{'AMD US Equity': 1, 'AMZN US Equity': 1, 'MSTR US Equity': 1, 'NKE US Equity': 1, 'JPM US Equity': 1}",5,257,2570000.000000,-5817.950246,-22.637939,-0.002264,-0.142925,-14292.464460,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0006,1,1,-26.011101,-21.848467,0.022242,92.000000,0.000000,0.050268,-0.322033,C US Equity,short,2018-02-19,2020-11-26,"PLTR US Equity, TSLA US Equity, AMD US Equity, XLE US Equity, C US Equity","{'PLTR US Equity': 5, 'TSLA US Equity': 1, 'AMD US Equity': 1, 'XLE US Equity': 1, 'C US Equity': 1}",5,363,3630000.000000,-15584.546816,-42.932636,-0.004293,-0.326276,-32627.631308,NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low AND QQQ US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01822, SIG_00595"
SETUP_0008,2,1,11.328224,19.564653,12.481028,13.000000,0.000000,0.944182,-0.012592,TSLA US Equity,long,2019-01-31,2021-01-29,"TSLA US Equity, BMY US Equity, AMD US Equity, XLK US Equity, MSTR US Equity","{'TSLA US Equity': 21, 'BMY US Equity': 1, 'AMD US Equity': 5, 'XLK US Equity': 3, 'MSTR US Equity': 1}",5,61,610000.000000,31882.917394,522.670777,0.052267,0.842674,84267.400790,LLY US Equity_vs_SPY US Equity_beta_px_60d_z_120d z_breakout_neg AND AMD US Equity_tw_pub_z_30d is_high AND MSFT US Equity_tw_pub_z_30d is_high,"SIG_02777, SIG_01568, SIG_00956"
SETUP_0007,2,1,10.987028,15.565975,44.370145,11.000000,0.000000,0.152000,-0.002129,AAPL US Equity,long,2019-01-24,2021-04-30,"AAPL US Equity, TSLA US Equity, XLK US Equity, XLE US Equity, MSFT US Equity","{'AAPL US Equity': 3, 'TSLA US Equity': 1, 'XLK US Equity': 3, 'XLE US Equity': 1, 'MSFT US Equity': 1}",5,49,490000.000000,3752.744052,76.586613,0.007659,0.096577,9657.656202,MSFT US Equity_oi_callput_skew_z_60d z_breakout_pos AND MSFT US Equity_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg,"SIG_01006, SIG_02749"
SETUP_0010,2,1,2.017640,6.229260,2.801239,31.000000,0.000000,0.519530,-0.048347,TSLA US Equity,long,2018-09-26,2021-06-24,"AMD US Equity, JPM US Equity, TSLA US Equity, LLY US Equity, AMZN US Equity","{'AMD US Equity': 3, 'JPM US Equity': 1, 'TSLA US Equity': 3, 'LLY US Equity': 1, 'AMZN US Equity': 1}",5,102,1020000.000000,14169.838576,138.919986,0.013892,0.454967,45496.722633,MSFT US Equity_tw_pub_z_30d is_high AND BMY US Equity_px_range_polarity_z_60d is_low,"SIG_00956, SIG_01673"
SETUP_0011,2,1,-0.444343,7.427494,2.615879,42.000000,0.000000,0.742162,-0.246470,TSLA US Equity,long,2018-07-26,2021-04-30,"AMD US Equity, TSLA US Equity, AAPL US Equity, MSTR US Equity, AMZN US Equity","{'AMD US Equity': 1, 'TSLA US Equity': 21, 'AAPL US Equity': 3, 'MSTR US Equity': 1, 'AMZN US Equity': 1}",5,166,1660000.000000,34653.872381,208.758267,0.020876,0.938140,93813.959332,MXWO Index_px_zscore_90d is_very_high_z AND NDX Index_turnover_minus_volume_z_60d is_high,"SIG_02304, SIG_02203"
SETUP_0012,2,1,-0.960782,1.867678,1.373232,65.000000,0.000000,0.314744,-0.104428,TSLA US Equity,long,2018-07-18,2021-06-28,"TSLA US Equity, AMD US Equity, AAPL US Equity, BMY US Equity, XLK US Equity","{'TSLA US Equity': 1, 'AMD US Equity': 3, 'AAPL US Equity': 3, 'BMY US Equity': 3, 'XLK US Equity': 1}",5,292,2920000.000000,9420.106414,32.260638,0.003226,0.152807,15280.660429,MSFT US Equity_tw_pub_z_30d is_high AND NDX Index_turnover_minus_volume_z_60d is_high,"SIG_00956, SIG_02203"
SETUP_0009,2,1,-6.632216,5.410675,2.956482,14.000000,0.000000,0.164559,-0.013646,AMD US Equity,long,2018-11-12,2021-06-10,"TSLA US Equity, AMD US Equity, LLY US Equity, AMZN US Equity, XLRE US Equity","{'TSLA US Equity': 1, 'AMD US Equity': 1, 'LLY US Equity': 1, 'AMZN US Equity': 3, 'XLRE US Equity': 1}",5,56,560000.000000,1442.114577,25.752046,0.002575,0.052626,5262.615408,MXWO Index_options_total_volume_spike_z_30d is_low AND MSTR US Equity_options_total_volume_spike_z_30d z_breakout_pos,"SIG_02339, SIG_01985"
SETUP_0013,3,1,9.031097,14.507969,11.183967,29.000000,0.000000,1.473285,-0.130921,TSLA US Equity,long,2019-01-04,2020-11-11,"NKE US Equity, TSLA US Equity, AMZN US Equity, MSTR US Equity, AMD US Equity","{'NKE US Equity': 10, 'TSLA US Equity': 21, 'AMZN US Equity': 21, 'MSTR US Equity': 10, 'AMD US Equity': 10}",5,120,1200000.000000,94098.994994,784.158292,0.078416,6.395594,639559.442709,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0014,3,1,3.231012,7.258914,3.309944,38.000000,0.000000,0.331844,-0.036654,AMD US Equity,long,2019-01-21,2021-11-04,"TSLA US Equity, AMD US Equity, C US Equity, GOOGL US Equity, XLC US Equity","{'TSLA US Equity': 3, 'AMD US Equity': 5, 'C US Equity': 1, 'GOOGL US Equity': 1, 'XLC US Equity': 1}",5,167,1670000.000000,14245.435376,85.302008,0.008530,0.405333,40533.312000,TSLA US Equity_iv_term_call3m_minus_rv21_z_60d z_breakout_pos AND MSFT US Equity_tw_pub_z_30d is_high,"SIG_00722, SIG_00956"
SETUP_0015,3,1,-0.566057,2.188038,1.440651,45.000000,0.000000,0.448540,-0.094005,TSLA US Equity,long,2019-02-01,2021-09-30,"AMZN US Equity, AAPL US Equity, AMD US Equity, TSLA US Equity, XLK US Equity","{'AMZN US Equity': 1, 'AAPL US Equity': 1, 'AMD US Equity': 1, 'TSLA US Equity': 3, 'XLK US Equity': 1}",5,160,1600000.000000,10777.038559,67.356491,0.006736,0.134684,13468.404144,QQQ US Equity_tw_pub_z_30d is_high AND EUR Curncy_px_range_polarity_z_60d is_low,"SIG_00546, SIG_02455"
SETUP_0016,3,1,-3.878906,-0.087384,0.935083,60.000000,0.000000,0.617446,-0.401640,LLY US Equity,long,2019-01-04,2021-12-17,"LLY US Equity, AMD US Equity, AAPL US Equity, C US Equity, TSLA US Equity","{'LLY US Equity': 1, 'AMD US Equity': 1, 'AAPL US Equity': 1, 'C US Equity': 1, 'TSLA US Equity': 5}",5,207,2070000.000000,418.032922,2.019483,0.000202,-0.083869,-8386.907496,QQQ US Equity_tw_pub_z_30d is_high AND XLK US Equity_iv_call3m_shock_1d_z_30d is_high,"SIG_00546, SIG_00112"
SETUP_0017,4,1,9.022509,18.896477,3.491290,15.000000,0.000000,0.351909,-0.041730,TSLA US Equity,long,2019-09-26,2022-06-20,"TSLA US Equity, AAPL US Equity, AMD US Equity, XLE US Equity, C US Equity","{'TSLA US Equity': 10, 'AAPL US Equity': 5, 'AMD US Equity': 10, 'XLE US Equity': 1, 'C US Equity': 1}",5,66,660000.000000,9367.839102,141.936956,0.014194,0.207978,20797.757103,AMD US Equity_tw_pub_z_30d is_high AND XLE US Equity_oi_callput_skew_z_60d z_breakout_neg,"SIG_01568, SIG_00063"
SETUP_0018,4,1,8.582018,12.355198,7.584650,27.000000,0.000000,0.446707,-0.027462,TSLA US Equity,long,2019-07-22,2022-06-13,"TSLA US Equity, AMD US Equity, JPM US Equity, MSTR US Equity, BMY US Equity","{'TSLA US Equity': 3, 'AMD US Equity': 3, 'JPM US Equity': 1, 'MSTR US Equity': 3, 'BMY US Equity': 1}",5,107,1070000.000000,18969.763277,177.287507,0.017729,0.652612,65261.244530,BMY US Equity_px_range_polarity_z_60d is_low AND MSFT US Equity_tw_pub_z_30d is_high,"SIG_01673, SIG_00956"
SETUP_0020,4,1,3.773247,8.126285,3.756429,47.000000,0.000000,1.281199,-0.167857,TSLA US Equity,long,2020-03-11,2022-06-20,"TSLA US Equity, XLE US Equity, COIN US Equity, AMD US Equity, JPM US Equity","{'TSLA US Equity': 21, 'XLE US Equity': 10, 'COIN US Equity': 1, 'AMD US Equity': 1, 'JPM US Equity': 1}",5,163,1630000.000000,65533.236997,402.044399,0.040204,3.452703,345270.348443,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0021,4,1,0.512397,4.159546,1.844537,75.000000,0.000000,1.046175,-0.335438,TSLA US Equity,long,2019-08-01,2022-06-20,"TSLA US Equity, LLY US Equity, AMD US Equity, AMZN US Equity, AAPL US Equity","{'TSLA US Equity': 21, 'LLY US Equity': 1, 'AMD US Equity': 3, 'AMZN US Equity': 1, 'AAPL US Equity': 1}",5,215,2150000.000000,39266.372493,182.634291,0.018263,1.650415,165041.483994,QQQ US Equity_tw_pub_z_30d is_high AND AMD US Equity_tw_pub_z_30d is_high,"SIG_00546, SIG_01568"
SETUP_0019,4,1,0.501983,7.848660,5.153171,30.000000,0.000000,1.787339,-0.259039,MSTR US Equity,long,2019-10-18,2022-06-20,"TSLA US Equity, MSTR US Equity, AAPL US Equity, JPM US Equity, XLK US Equity","{'TSLA US Equity': 3, 'MSTR US Equity': 5, 'AAPL US Equity': 5, 'JPM US Equity': 3, 'XLK US Equity': 3}",5,71,710000.000000,21586.552121,304.035945,0.030404,2.952503,295250.307867,MSFT US Equity_oi_callput_skew_z_60d z_breakout_pos AND AMD US Equity_tw_pub_z_30d is_high,"SIG_01006, SIG_01568"
SETUP_0022,5,1,12.063852,23.049803,12.708229,27.000000,0.000000,0.823539,-0.092019,TSLA US Equity,long,2020-01-03,2022-01-03,"TSLA US Equity, AMZN US Equity, AMD US Equity, MSTR US Equity, AAPL US Equity","{'TSLA US Equity': 21, 'AMZN US Equity': 21, 'AMD US Equity': 1, 'MSTR US Equity': 3, 'AAPL US Equity': 1}",5,101,1010000.000000,77488.794700,767.215789,0.076722,3.392138,339213.770189,C US Equity_realized_vol_21d is_low AND DXY Curncy_vs_SPY US Equity_beta_px_60d_z_120d is_high,"SIG_01296, SIG_03002"
