setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0000,1,1,55.5466,79.1820,999.0000,18.0000,TSLA US Equity,long,0.0000,0.0977,0.0000,2019-11-06,2020-08-18,XLE US Equity_vs_SPY US Equity_beta_px_60d is_high AND BMY US Equity_px_zscore_90d is_very_high_z,"SIG_00873, SIG_00475"
SETUP_0002,1,1,47.3227,54.8104,999.0000,19.0000,AMD US Equity,long,0.0000,0.1359,0.0000,2020-06-30,2020-07-24,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND HG1 Comdty_px_zscore_90d is_very_high_z,"SIG_00889, SIG_00843"
SETUP_0004,1,1,46.2568,55.1779,999.0000,34.0000,AMD US Equity,long,0.0000,0.1319,0.0000,2019-11-08,2020-07-24,HG1 Comdty_px_zscore_90d is_very_high_z AND AMZN US Equity_vs_SPY US Equity_beta_px_60d is_low,"SIG_00843, SIG_00945"
SETUP_0006,1,1,28.7464,35.3711,999.0000,38.0000,AMD US Equity,long,0.0000,0.1837,0.0000,2018-06-13,2020-12-18,XLRE US Equity_realized_vol_21d z_breakout_neg AND TSLA US Equity_px_zscore_90d is_high,"SIG_00063, SIG_00211"
SETUP_0009,1,1,26.0061,31.9502,236.8910,63.0000,AMD US Equity,long,0.0000,0.1479,-0.0035,2018-07-16,2020-12-24,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND LLY US Equity_px_zscore_90d is_high,"SIG_00994, SIG_00331"
SETUP_0010,1,1,25.5581,32.7048,376.2686,65.0000,TSLA US Equity,long,0.0000,0.1718,-0.0037,2019-12-10,2020-12-29,HG1 Comdty_px_zscore_90d is_very_high_z AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00843, SIG_00873"
SETUP_0011,1,1,22.8493,27.7626,169.7606,70.0000,TSLA US Equity,long,0.0000,0.2124,-0.0052,2018-06-13,2020-12-29,TSLA US Equity_px_zscore_90d is_high AND HG1 Comdty_px_zscore_90d is_very_high_z,"SIG_00211, SIG_00843"
SETUP_0001,1,1,22.7886,32.9885,13468.8543,18.0000,PLTR US Equity,long,0.0000,0.3025,-0.0000,2018-06-11,2020-12-11,HG1 Comdty_px_zscore_90d is_very_high_z AND NDX Index_put_call_ratio_zscore_20d is_high,"SIG_00843, SIG_00666"
SETUP_0007,1,1,21.2788,30.9886,1819.7912,41.0000,PLTR US Equity,long,0.0000,0.1775,-0.0004,2018-06-07,2020-11-09,HG1 Comdty_px_zscore_90d is_very_high_z AND MSFT US Equity_px_zscore_90d is_very_high_z,"SIG_00843, SIG_00285"
SETUP_0013,1,1,20.7246,25.6996,85.5105,87.0000,TSLA US Equity,long,0.0000,0.1779,-0.0078,2018-08-08,2020-12-24,TSLA US Equity_px_zscore_90d is_high AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00211, SIG_00994"
SETUP_0005,1,1,20.1050,25.9819,1870.4454,37.0000,PLTR US Equity,long,0.0000,0.1903,-0.0003,2018-08-09,2020-11-09,MSFT US Equity_px_zscore_90d is_very_high_z AND BMY US Equity_px_zscore_90d is_very_high_z,"SIG_00285, SIG_00475"
SETUP_0008,1,1,19.8839,27.0259,496.9603,44.0000,TSLA US Equity,long,0.0000,0.1643,-0.0016,2019-06-05,2020-01-14,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND XAU Curncy_vs_SPY US Equity_beta_px_60d is_low,"SIG_00994, SIG_01176"
SETUP_0003,1,1,17.9537,31.0793,26142.2152,29.0000,AMD US Equity,long,0.0000,0.1827,-0.0000,2019-02-07,2020-07-24,HG1 Comdty_px_zscore_90d is_very_high_z AND WMT US Equity_vs_SPY US Equity_corr_px_20d is_low,"SIG_00843, SIG_01044"
SETUP_0012,1,1,17.6533,20.2106,239.6212,76.0000,TSLA US Equity,long,0.0000,0.4407,-0.0085,2020-03-17,2020-07-10,SPX Index_realized_vol_21d is_high AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00634, SIG_00889"
