setup_id,fold,trigger_date,exit_date,ticker,horizon_days,direction,option_type,strike,entry_underlying,exit_underlying,entry_iv,exit_iv,entry_option_price,exit_option_price,contracts,capital_allocated,pnl_dollars,pnl_pct
SETUP_0000,1,2018-04-23,2018-05-22,AMD US Equity,21,long,call,10.040000,10.040000,12.980000,5.000000,5.000000,7.918553,9.485147,12,10000.000000,1879.912972,0.187991
SETUP_0000,1,2018-04-23,2018-04-24,LLY US Equity,1,long,call,80.200000,80.200000,80.090000,5.000000,5.000000,63.253776,62.861979,1,10000.000000,-39.179735,-0.003918
SETUP_0000,1,2018-04-23,2018-04-24,MSTR US Equity,1,long,call,13.152000,13.152000,13.034000,5.000000,5.000000,10.372988,10.219559,9,10000.000000,-138.086437,-0.013809
SETUP_0000,1,2018-04-23,2018-05-07,TSLA US Equity,10,long,call,18.891300,18.891300,20.184700,5.000000,5.000000,14.899577,15.273105,6,10000.000000,224.117147,0.022412
SETUP_0000,1,2018-04-24,2018-05-23,AMD US Equity,21,long,call,10.090000,10.090000,13.100000,5.000000,5.000000,7.957988,9.580789,12,10000.000000,1947.362283,0.194736
SETUP_0000,1,2018-04-24,2018-04-25,LLY US Equity,1,long,call,80.090000,80.090000,81.140000,5.000000,5.000000,63.167019,63.811452,1,10000.000000,64.443242,0.006444
SETUP_0000,1,2018-04-24,2018-04-25,MSTR US Equity,1,long,call,13.034000,13.034000,13.158000,5.000000,5.000000,10.279922,10.342918,9,10000.000000,56.696869,0.005670
SETUP_0000,1,2018-04-24,2018-05-08,TSLA US Equity,10,long,call,18.897300,18.897300,20.131300,5.000000,5.000000,14.904309,15.225326,6,10000.000000,192.609978,0.019261
SETUP_0000,1,2018-04-25,2018-05-24,AMD US Equity,21,long,call,9.710000,9.710000,13.410000,5.000000,5.000000,7.658281,9.925107,13,10000.000000,2946.873898,0.294687
SETUP_0000,1,2018-04-25,2018-04-26,LLY US Equity,1,long,call,81.140000,81.140000,82.550000,5.000000,5.000000,63.995155,64.957446,1,10000.000000,96.229102,0.009623
SETUP_0000,1,2018-04-25,2018-04-26,MSTR US Equity,1,long,call,13.158000,13.158000,13.229000,5.000000,5.000000,10.377721,10.392930,9,10000.000000,13.688520,0.001369
SETUP_0000,1,2018-04-25,2018-05-09,TSLA US Equity,10,long,call,18.712700,18.712700,20.456700,5.000000,5.000000,14.758715,15.536500,6,10000.000000,466.670894,0.046667
SETUP_0000,1,2018-04-26,2018-05-25,AMD US Equity,21,long,call,11.040000,11.040000,13.540000,5.000000,5.000000,8.707253,9.791206,11,10000.000000,1192.348722,0.119235
SETUP_0000,1,2018-04-26,2018-04-27,LLY US Equity,1,long,call,82.550000,82.550000,82.730000,5.000000,5.000000,65.107222,64.965661,1,10000.000000,-14.156142,-0.001416
SETUP_0000,1,2018-04-26,2018-04-27,MSTR US Equity,1,long,call,13.229000,13.229000,12.669000,5.000000,5.000000,10.433718,9.886377,9,10000.000000,-492.607455,-0.049261
SETUP_0000,1,2018-04-26,2018-05-10,TSLA US Equity,10,long,call,19.032000,19.032000,20.334700,5.000000,5.000000,15.010547,15.386564,6,10000.000000,225.610462,0.022561
SETUP_0000,1,2018-07-24,2018-08-22,AMD US Equity,21,long,call,16.190000,16.190000,20.900000,5.000000,5.000000,12.769060,15.268264,7,10000.000000,1749.442749,0.174944
SETUP_0000,1,2018-07-24,2018-07-25,LLY US Equity,1,long,call,93.350000,93.350000,96.430000,5.000000,5.000000,73.625187,76.036105,1,10000.000000,241.091773,0.024109
SETUP_0000,1,2018-07-24,2018-07-25,MSTR US Equity,1,long,call,13.332000,13.332000,13.527000,5.000000,5.000000,10.514954,10.640291,9,10000.000000,112.802561,0.011280
SETUP_0000,1,2018-07-24,2018-08-07,TSLA US Equity,10,long,call,19.828700,19.828700,25.304700,5.000000,5.000000,15.638905,19.687346,6,10000.000000,2429.064578,0.242906
SETUP_0000,1,2018-07-24,2018-07-25,XLC US Equity,1,long,call,51.440000,51.440000,51.810000,5.000000,5.000000,40.570751,40.712752,2,10000.000000,28.400111,0.002840
SETUP_0000,1,2018-07-25,2018-08-23,AMD US Equity,21,long,call,16.050000,16.050000,22.290000,5.000000,5.000000,12.658642,16.514930,7,10000.000000,2699.401266,0.269940
SETUP_0000,1,2018-07-25,2018-07-26,LLY US Equity,1,long,call,96.430000,96.430000,95.180000,5.000000,5.000000,76.054385,74.586297,1,10000.000000,-146.808811,-0.014681
SETUP_0000,1,2018-07-25,2018-07-26,MSTR US Equity,1,long,call,13.527000,13.527000,13.738000,5.000000,5.000000,10.668751,10.807670,9,10000.000000,125.026883,0.012503
SETUP_0000,1,2018-07-25,2018-08-08,TSLA US Equity,10,long,call,20.582700,20.582700,24.689300,5.000000,5.000000,16.233585,19.028077,6,10000.000000,1676.695300,0.167670
SETUP_0000,1,2018-07-25,2018-07-26,XLC US Equity,1,long,call,51.810000,51.810000,49.856200,5.000000,5.000000,40.862570,38.931880,2,10000.000000,-386.138024,-0.038614
